,mileage,age,log_price,log_enginev,brand_audi,brand_bmw,brand_mercedes-benz,brand_mitsubishi,brand_renault,brand_toyota,brand_volkswagen,body_crossover,body_hatch,body_other,body_sedan,body_vagon,body_van,engine_type_diesel,engine_type_gas,engine_type_other,engine_type_petrol,registration_no,registration_yes
0,1.1492997429792515,2.4576681758455927,-1.1981895109375522,-0.39197178412366734,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,2.6978756067600833,1.18086502032641,-0.4450397127054344,0.7732408936751097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2,1.9855307094209007,0.5424634425668184,0.17598077360411365,2.6864348121717767,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,0.7673176965799798,-0.09593813519277304,0.829013404897131,2.0508950691650685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,-0.47154299444468545,-0.7343397129523644,0.5564701975625336,-0.39197178412366734,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,2.8114378367706774,1.5000658092062056,-0.7532984932071344,-0.39197178412366734,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,0.3543641329050914,0.06366225924712482,0.2540458310656814,0.5394394429006499,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,0.2820972592619859,-0.8939401073922624,-0.07237153870817432,-1.2016986340950715,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8,0.4782502020075579,1.18086502032641,-2.507520993936027,-0.6983830581495132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9,0.11691583379203055,-0.7343397129523644,0.04837344976034743,-1.2016986340950715,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10,0.9737944784174241,1.9788669925258993,-1.8165654922768868,-0.7142728852260584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11,-0.006970235310435982,0.5424634425668184,-0.22516643167794118,0.5394394429006499,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,-0.6780197762821297,-0.25553852963267093,-0.10584673025412536,-0.6983830581495132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,0.870556087498702,0.8616642314466141,0.39633608328054576,2.4586309341255563,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14,-0.843201201752085,-0.8939401073922624,-0.34382456896809904,-1.2016986340950715,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
15,0.38533565018070803,0.8616642314466141,-1.6032387650606263,-0.39197178412366734,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
16,-1.4936030645400342,-1.0535405018321602,0.9978995067084604,-0.39197178412366734,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17,0.870556087498702,1.3404654147663078,-1.415518649542503,0.29264251268456953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18,-1.7104036854693507,-1.5323416851518539,1.4349362309553184,0.16390300796799476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
19,-0.3476569253422189,0.06366225924712482,-0.5069843750138042,-1.3829973549577501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20,0.6124601102018966,1.3404654147663078,-0.6237921535975336,0.16390300796799476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,-0.36830460352596334,0.06366225924712482,-0.10584673025412536,0.16390300796799476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
